{'generation': 56, 'avg_fitness': 8914.4444444444453, 'var_fitness': 2609450.2469135802, 'best_fitness': 11365}
{'generation': 57, 'avg_fitness': 10457.666666666666, 'var_fitness': 794741.33333333337, 'best_fitness': 11365}
{'generation': 58, 'avg_fitness': 10746.777777777777, 'var_fitness': 250914.61728395062, 'best_fitness': 11365}
{'generation': 59, 'avg_fitness': 10535.444444444445, 'var_fitness': 345713.1358024691, 'best_fitness': 11365}
{'generation': 60, 'avg_fitness': 10131.888888888889, 'var_fitness': 1791788.0987654319, 'best_fitness': 11365}
{'generation': 61, 'avg_fitness': 10032.333333333334, 'var_fitness': 1971505.111111111, 'best_fitness': 11659}
{'generation': 62, 'avg_fitness': 10366.111111111111, 'var_fitness': 834038.32098765438, 'best_fitness': 11659}
{'generation': 63, 'avg_fitness': 10195.666666666666, 'var_fitness': 1391265.3333333333, 'best_fitness': 11659}
{'generation': 64, 'avg_fitness': 9373.6666666666661, 'var_fitness': 303981.33333333331, 'best_fitness': 10405}
{'generation': 65, 'avg_fitness': 8491.6666666666661, 'var_fitness': 619576.88888888876, 'best_fitness': 9413}
{'generation': 66, 'avg_fitness': 8199.7777777777774, 'var_fitness': 1550840.839506173, 'best_fitness': 9677}
{'generation': 67, 'avg_fitness': 6726.666666666667, 'var_fitness': 1059982.0, 'best_fitness': 9322}
{'generation': 68, 'avg_fitness': 7552.4444444444443, 'var_fitness': 1582902.691358025, 'best_fitness': 9274}
{'generation': 69, 'avg_fitness': 8326.8888888888887, 'var_fitness': 1676102.0987654321, 'best_fitness': 9948}
{'generation': 70, 'avg_fitness': 7864.666666666667, 'var_fitness': 2034497.111111111, 'best_fitness': 9274}
{'generation': 71, 'avg_fitness': 8326.2222222222226, 'var_fitness': 638205.06172839506, 'best_fitness': 9303}
{'generation': 72, 'avg_fitness': 8134.0, 'var_fitness': 422755.33333333331, 'best_fitness': 9274}
{'generation': 73, 'avg_fitness': 7546.666666666667, 'var_fitness': 1314893.3333333333, 'best_fitness': 9275}
{'generation': 74, 'avg_fitness': 7728.4444444444443, 'var_fitness': 1156193.1358024692, 'best_fitness': 8856}
{'generation': 75, 'avg_fitness': 7870.333333333333, 'var_fitness': 413151.77777777775, 'best_fitness': 8856}
{'generation': 76, 'avg_fitness': 8275.7777777777774, 'var_fitness': 791202.39506172831, 'best_fitness': 9521}
{'generation': 77, 'avg_fitness': 8330.7777777777774, 'var_fitness': 698809.50617283944, 'best_fitness': 8856}
{'generation': 78, 'avg_fitness': 8253.4444444444453, 'var_fitness': 353346.02469135798, 'best_fitness': 8856}
{'generation': 79, 'avg_fitness': 7818.2222222222226, 'var_fitness': 598611.06172839506, 'best_fitness': 8856}
{'generation': 80, 'avg_fitness': 7637.2222222222226, 'var_fitness': 973663.2839506173, 'best_fitness': 8856}
{'generation': 81, 'avg_fitness': 8101.7777777777774, 'var_fitness': 464595.72839506174, 'best_fitness': 8856}
{'generation': 82, 'avg_fitness': 8229.3333333333339, 'var_fitness': 186220.44444444444, 'best_fitness': 8866}
{'generation': 83, 'avg_fitness': 8146.7777777777774, 'var_fitness': 627663.50617283944, 'best_fitness': 9295}
{'generation': 84, 'avg_fitness': 7982.5555555555557, 'var_fitness': 796402.46913580247, 'best_fitness': 9295}
{'generation': 85, 'avg_fitness': 7873.333333333333, 'var_fitness': 762247.33333333337, 'best_fitness': 9295}
{'generation': 86, 'avg_fitness': 8452.3333333333339, 'var_fitness': 853567.11111111112, 'best_fitness': 10083}
{'generation': 87, 'avg_fitness': 8071.2222222222226, 'var_fitness': 2061739.5061728391, 'best_fitness': 10083}
{'generation': 88, 'avg_fitness': 8154.8888888888887, 'var_fitness': 1678775.8765432099, 'best_fitness': 10083}
{'generation': 89, 'avg_fitness': 8204.5555555555547, 'var_fitness': 2279837.8024691357, 'best_fitness': 10147}
{'generation': 90, 'avg_fitness': 8722.3333333333339, 'var_fitness': 729954.0, 'best_fitness': 10083}
{'generation': 91, 'avg_fitness': 8355.5555555555547, 'var_fitness': 1293358.4691358025, 'best_fitness': 9481}
{'generation': 92, 'avg_fitness': 8065.7777777777774, 'var_fitness': 842424.39506172831, 'best_fitness': 9481}
{'generation': 93, 'avg_fitness': 8896.2222222222226, 'var_fitness': 1008453.950617284, 'best_fitness': 10929}
{'generation': 94, 'avg_fitness': 9053.0, 'var_fitness': 1941767.111111111, 'best_fitness': 12434}
{'generation': 95, 'avg_fitness': 8650.3333333333339, 'var_fitness': 2438840.8888888895, 'best_fitness': 12434}
{'generation': 96, 'avg_fitness': 8335.8888888888887, 'var_fitness': 964396.9876543209, 'best_fitness': 9318}
{'generation': 97, 'avg_fitness': 7842.1111111111113, 'var_fitness': 594121.20987654326, 'best_fitness': 8992}
{'generation': 98, 'avg_fitness': 7406.4444444444443, 'var_fitness': 518808.46913580247, 'best_fitness': 8625}
{'generation': 99, 'avg_fitness': 8015.0, 'var_fitness': 521263.77777777775, 'best_fitness': 9272}
{'generation': 100, 'avg_fitness': 7708.2222222222226, 'var_fitness': 1234918.1728395063, 'best_fitness': 9272}
{'generation': 101, 'avg_fitness': 8016.333333333333, 'var_fitness': 266961.55555555556, 'best_fitness': 8583}
{'generation': 102, 'avg_fitness': 8871.6666666666661, 'var_fitness': 353140.88888888888, 'best_fitness': 9581}
{'generation': 103, 'avg_fitness': 8115.666666666667, 'var_fitness': 1191386.888888889, 'best_fitness': 9360}
{'generation': 104, 'avg_fitness': 8092.1111111111113, 'var_fitness': 757315.87654320989, 'best_fitness': 9360}
{'generation': 105, 'avg_fitness': 8057.1111111111113, 'var_fitness': 1336211.2098765429, 'best_fitness': 9360}
{'generation': 106, 'avg_fitness': 8142.1111111111113, 'var_fitness': 805042.09876543214, 'best_fitness': 9843}
{'generation': 107, 'avg_fitness': 8627.1111111111113, 'var_fitness': 1830433.6543209876, 'best_fitness': 10129}
{'generation': 108, 'avg_fitness': 8659.8888888888887, 'var_fitness': 1796550.9876543209, 'best_fitness': 10129}
{'generation': 109, 'avg_fitness': 8998.3333333333339, 'var_fitness': 2468995.3333333335, 'best_fitness': 11085}
{'generation': 110, 'avg_fitness': 9509.5555555555547, 'var_fitness': 1005082.024691358, 'best_fitness': 10129}
{'generation': 111, 'avg_fitness': 9097.8888888888887, 'var_fitness': 371590.76543209876, 'best_fitness': 10129}
{'generation': 112, 'avg_fitness': 8527.2222222222226, 'var_fitness': 996680.17283950606, 'best_fitness': 10091}
{'generation': 113, 'avg_fitness': 8715.1111111111113, 'var_fitness': 1343671.2098765434, 'best_fitness': 10091}
{'generation': 114, 'avg_fitness': 9104.1111111111113, 'var_fitness': 1596575.2098765431, 'best_fitness': 10710}
{'generation': 115, 'avg_fitness': 8216.2222222222226, 'var_fitness': 1062473.2839506173, 'best_fitness': 10091}
{'generation': 116, 'avg_fitness': 7401.5555555555557, 'var_fitness': 1718057.8024691357, 'best_fitness': 10091}
{'generation': 117, 'avg_fitness': 7122.666666666667, 'var_fitness': 430193.33333333337, 'best_fitness': 7908}
{'generation': 118, 'avg_fitness': 6894.7777777777774, 'var_fitness': 223677.72839506171, 'best_fitness': 7407}
{'generation': 119, 'avg_fitness': 6778.2222222222226, 'var_fitness': 509683.061728395, 'best_fitness': 7836}
{'generation': 120, 'avg_fitness': 7005.5555555555557, 'var_fitness': 305050.46913580247, 'best_fitness': 7939}
{'generation': 121, 'avg_fitness': 6624.2222222222226, 'var_fitness': 690800.61728395056, 'best_fitness': 9137}
{'generation': 122, 'avg_fitness': 7000.1111111111113, 'var_fitness': 508803.43209876545, 'best_fitness': 8230}
{'generation': 123, 'avg_fitness': 7560.2222222222226, 'var_fitness': 831608.83950617281, 'best_fitness': 8585}
{'generation': 124, 'avg_fitness': 7052.2222222222226, 'var_fitness': 1889415.7283950618, 'best_fitness': 8717}
{'generation': 125, 'avg_fitness': 7040.5555555555557, 'var_fitness': 1176139.8024691357, 'best_fitness': 8717}
{'generation': 126, 'avg_fitness': 7283.1111111111113, 'var_fitness': 998174.09876543202, 'best_fitness': 8585}
{'generation': 127, 'avg_fitness': 6984.2222222222226, 'var_fitness': 1280887.0617283951, 'best_fitness': 8023}
{'generation': 128, 'avg_fitness': 7246.0, 'var_fitness': 508735.33333333331, 'best_fitness': 8661}
{'generation': 129, 'avg_fitness': 6741.2222222222226, 'var_fitness': 759728.17283950618, 'best_fitness': 7795}
{'generation': 130, 'avg_fitness': 6874.666666666667, 'var_fitness': 845573.33333333349, 'best_fitness': 8098}
{'generation': 131, 'avg_fitness': 6891.2222222222226, 'var_fitness': 668793.2839506173, 'best_fitness': 8098}
{'generation': 132, 'avg_fitness': 7381.1111111111113, 'var_fitness': 1502916.0987654321, 'best_fitness': 8876}
{'generation': 133, 'avg_fitness': 8197.3333333333339, 'var_fitness': 725732.66666666663, 'best_fitness': 9222}
{'generation': 134, 'avg_fitness': 8406.1111111111113, 'var_fitness': 588963.43209876539, 'best_fitness': 9222}
{'generation': 135, 'avg_fitness': 7889.1111111111113, 'var_fitness': 543938.76543209876, 'best_fitness': 9222}
{'generation': 136, 'avg_fitness': 7693.2222222222226, 'var_fitness': 1495404.8395061728, 'best_fitness': 9222}
{'generation': 137, 'avg_fitness': 8448.0, 'var_fitness': 281097.11111111112, 'best_fitness': 9049}
{'generation': 138, 'avg_fitness': 8319.0, 'var_fitness': 555095.77777777775, 'best_fitness': 9049}
{'generation': 139, 'avg_fitness': 8148.4444444444443, 'var_fitness': 1500964.0246913582, 'best_fitness': 9840}
{'generation': 140, 'avg_fitness': 8906.4444444444453, 'var_fitness': 796324.91358024685, 'best_fitness': 9840}
{'generation': 141, 'avg_fitness': 8419.6666666666661, 'var_fitness': 862898.66666666663, 'best_fitness': 9840}
{'generation': 142, 'avg_fitness': 7699.5555555555557, 'var_fitness': 635356.24691358022, 'best_fitness': 9840}
{'generation': 143, 'avg_fitness': 8055.8888888888887, 'var_fitness': 607254.09876543214, 'best_fitness': 9840}
{'generation': 144, 'avg_fitness': 7566.5555555555557, 'var_fitness': 1378653.1358024692, 'best_fitness': 9522}
{'generation': 145, 'avg_fitness': 7955.0, 'var_fitness': 898061.11111111112, 'best_fitness': 9522}
{'generation': 146, 'avg_fitness': 7716.5555555555557, 'var_fitness': 565500.46913580247, 'best_fitness': 9522}
{'generation': 147, 'avg_fitness': 7870.0, 'var_fitness': 1421482.4444444445, 'best_fitness': 9522}
{'generation': 148, 'avg_fitness': 7366.4444444444443, 'var_fitness': 2183872.2469135802, 'best_fitness': 9522}
{'generation': 149, 'avg_fitness': 7593.4444444444443, 'var_fitness': 2745380.0246913577, 'best_fitness': 9154}
{'generation': 150, 'avg_fitness': 7548.5555555555557, 'var_fitness': 535018.46913580247, 'best_fitness': 9154}
{'generation': 151, 'avg_fitness': 7159.4444444444443, 'var_fitness': 412198.24691358022, 'best_fitness': 8307}
{'generation': 152, 'avg_fitness': 7596.2222222222226, 'var_fitness': 1354106.3950617283, 'best_fitness': 9321}
{'generation': 153, 'avg_fitness': 7754.1111111111113, 'var_fitness': 1007042.7654320989, 'best_fitness': 9321}
{'generation': 154, 'avg_fitness': 8169.4444444444443, 'var_fitness': 1199315.3580246912, 'best_fitness': 9321}
{'generation': 155, 'avg_fitness': 8505.2222222222226, 'var_fitness': 756829.2839506173, 'best_fitness': 9321}
{'generation': 156, 'avg_fitness': 8693.4444444444453, 'var_fitness': 340941.80246913579, 'best_fitness': 9321}
{'generation': 157, 'avg_fitness': 8709.0, 'var_fitness': 807304.22222222225, 'best_fitness': 10247}
{'generation': 158, 'avg_fitness': 7583.4444444444443, 'var_fitness': 837278.02469135798, 'best_fitness': 9289}
{'generation': 159, 'avg_fitness': 7607.666666666667, 'var_fitness': 796495.11111111112, 'best_fitness': 9213}
{'generation': 160, 'avg_fitness': 7813.4444444444443, 'var_fitness': 701175.35802469135, 'best_fitness': 9213}
{'generation': 161, 'avg_fitness': 7597.5555555555557, 'var_fitness': 1079941.1358024692, 'best_fitness': 9289}
{'generation': 162, 'avg_fitness': 7309.4444444444443, 'var_fitness': 1258752.024691358, 'best_fitness': 8887}
{'generation': 163, 'avg_fitness': 7128.5555555555557, 'var_fitness': 1815249.3580246912, 'best_fitness': 8887}
{'generation': 164, 'avg_fitness': 7144.4444444444443, 'var_fitness': 1548676.4691358025, 'best_fitness': 8887}
{'generation': 165, 'avg_fitness': 7321.1111111111113, 'var_fitness': 3710976.0987654319, 'best_fitness': 10067}
{'generation': 166, 'avg_fitness': 8317.5555555555547, 'var_fitness': 1237675.8024691357, 'best_fitness': 10067}
{'generation': 167, 'avg_fitness': 7944.0, 'var_fitness': 808467.5555555555, 'best_fitness': 10067}
{'generation': 168, 'avg_fitness': 8339.8888888888887, 'var_fitness': 583806.32098765438, 'best_fitness': 10067}
{'generation': 169, 'avg_fitness': 8400.6666666666661, 'var_fitness': 450706.66666666674, 'best_fitness': 10067}
{'generation': 170, 'avg_fitness': 7808.1111111111113, 'var_fitness': 1748980.7654320986, 'best_fitness': 9147}
{'generation': 171, 'avg_fitness': 7944.333333333333, 'var_fitness': 906443.77777777775, 'best_fitness': 9147}
{'generation': 172, 'avg_fitness': 6778.8888888888887, 'var_fitness': 968188.76543209865, 'best_fitness': 8487}
{'generation': 173, 'avg_fitness': 6841.2222222222226, 'var_fitness': 795311.72839506168, 'best_fitness': 8487}
{'generation': 174, 'avg_fitness': 6653.1111111111113, 'var_fitness': 706734.76543209888, 'best_fitness': 7796}
{'generation': 175, 'avg_fitness': 6523.666666666667, 'var_fitness': 1598656.6666666667, 'best_fitness': 8283}
{'generation': 176, 'avg_fitness': 6106.7777777777774, 'var_fitness': 1724821.728395062, 'best_fitness': 8548}
{'generation': 177, 'avg_fitness': 6278.0, 'var_fitness': 523078.44444444444, 'best_fitness': 7027}
{'generation': 178, 'avg_fitness': 5773.2222222222226, 'var_fitness': 910274.61728395068, 'best_fitness': 7500}
{'generation': 179, 'avg_fitness': 5838.4444444444443, 'var_fitness': 914873.80246913573, 'best_fitness': 7500}
{'generation': 180, 'avg_fitness': 6134.1111111111113, 'var_fitness': 667097.20987654326, 'best_fitness': 7500}
{'generation': 181, 'avg_fitness': 6005.8888888888887, 'var_fitness': 1783654.0987654319, 'best_fitness': 7744}
{'generation': 182, 'avg_fitness': 6370.666666666667, 'var_fitness': 190232.66666666666, 'best_fitness': 7373}
{'generation': 183, 'avg_fitness': 5926.1111111111113, 'var_fitness': 2247571.6543209874, 'best_fitness': 8759}
